编号,船名,国籍,稀有度,舰种,舰级,耐久,火力,护甲,鱼雷,防空,对潜,索敌,闪避,命中,幸运,航速,搭载,射程,船型,装备槽,装备,消耗油,消耗弹,维修油,维修钢,维修时间,分解资源(油弹钢铝),强化经验(火雷甲空),技能1(3级),技能2(3级)
001,胡德,英国,5,战巡,海军上将级1号舰,75,68 | 93,65 | 80,0 | 0,40 | 70,0 | 0,13 | 40,27 | 60,40 | 96,5,31,3|3|3|3,长,大型,4,E国双联15英寸炮|E国双联4英寸炮|海象式,70,120,2.88,5.4,0.75,40|50|40|0,73|0|65|24
002,扶桑,日本,3,战列,扶桑型1番舰,67,70 | 90,61 | 81,0 | 0,20 | 50,0 | 0,9 | 36,21 | 43,38 | 94,7,25,3|3|3|3,长,大型,4,J国35.6厘米连装炮|J国15.2厘米单装炮,85,120,2.5,5.1,1,50|60|60|0,70|0|61|10
003,山城,日本,3,战列,扶桑型2番舰,67,70 | 90,61 | 81,0 | 0,20 | 50,0 | 0,9 | 36,21 | 43,38 | 94,7,25,3|3|3|3,长,大型,4,J国35.6厘米连装炮|J国15.2厘米单装炮,85,120,2.5,5.1,1,50|60|60|0,70|0|61|10
004,伊势,日本,3,战列,伊势型1番舰,74,71 | 91,62 | 82,0 | 0,22 | 52,0 | 0,10 | 37,24 | 46,38 | 94,16,24.5,3|3|3|3,长,大型,4,J国35.6厘米连装炮|J国14厘米单装炮,85,120,2.5,5.1,1,50|60|60|0,71|0|62|11
005,日向,日本,3,战列,伊势型2番舰,74,71 | 91,62 | 82,0 | 0,22 | 52,0 | 0,10 | 37,24 | 46,38 | 94,16,24.5,3|3|3|3,长,大型,4,J国35.6厘米连装炮|J国14厘米单装炮,85,120,2.5,5.1,1,50|60|60|0,71|0|62|11
006,俾斯麦,德国,5,战列,俾斯麦级1号舰,90,72 | 92,80 | 100,0 | 0,25 | 55,0 | 0,16 | 43,26 | 48,40 | 96,15,30,4|4|4|4,长,大型,4,G国双联380毫米炮|G国双联150毫米炮|AR-196水上侦察机,90,130,4.2,8.8,1,50|60|60|0,72|0|84|13
007,提尔比茨,德国,5,战列,俾斯麦级2号舰,91,72 | 92,80 | 100,0 | 0,25 | 55,0 | 0,16 | 43,26 | 48,40 | 96,16,30.8,4|4|4|4,长,大型,4,G国双联380毫米炮|G国双联150毫米炮|AR-196水上侦察机,90,130,4.2,8.8,1,50|60|60|0,72|0|84|13
008,纳尔逊,英国,4,战列,纳尔逊级1号舰,72,84 | 104,72 | 92,0 | 0,42 | 72,0 | 0,12 | 39,19 | 41,39 | 95,20,23.5,0,长,大型,4,E国三联16英寸炮|E国双联6英寸炮,90,140,3.2,6,1,50|60|60|0,89|0|72|27
009,罗德尼,英国,4,战列,纳尔逊级2号舰,72,84 | 104,72 | 92,0 | 0,42 | 72,0 | 0,12 | 39,19 | 41,39 | 95,20,23.5,0,长,大型,4,E国三联16英寸炮|E国双联6英寸炮,90,140,3.2,6,1,50|60|60|0,89|0|72|27
010,威尔士亲王,英国,5,战列,英王乔治五世级2号舰,74,75 | 95,75 | 95,0 | 0,52 | 82,0 | 0,15 | 42,26 | 48,40 | 96,10,29,4|4|4|4,长,大型,4,E国四联14英寸炮|E国双联5.25英寸炮|海象式,90,140,4.2,8,1,50|60|60|0,80|0|75|42
011,内华达,美国,3,战列,内华达级1号舰,64,65 | 85,68 | 88,0 | 0,33 | 63,0 | 0,10 | 37,15 | 37,38 | 94,25,21,3|3|3|3,长,大型,4,U国三联14英寸炮|U国双联5英寸平高两用炮,85,125,2.5,5.1,0.8,50|60|60|0,65|0|68|22
012,俄克拉荷马,美国,3,战列,内华达级2号舰,64,65 | 85,68 | 88,0 | 0,33 | 63,0 | 0,10 | 37,15 | 37,38 | 94,10,21,3|3|3|3,长,大型,4,U国三联14英寸炮|U国双联5英寸平高两用炮,85,125,2.5,5.1,0.8,50|60|60|0,65|0|68|22
013,安德烈亚·多利亚,意大利,5,战列,安德烈亚·多利亚1号舰,54,59 | 79,59 | 79,0 | 0,18 | 48,0 | 0,10 | 37,22 | 44,40 | 96,20,22,3|3|3|3,长,大型,4,I国三联305毫米炮|标准型动力系统,70,110,2.25,4.55,1,50|60|60|0,59|0|59|9
014,金刚,日本,3,战巡,金刚型1番舰,63,65 | 90,55 | 70,0 | 0,26 | 56,0 | 0,13 | 40,32 | 65,38 | 94,15,30.3,3|3|3|3,长,大型,4,J国35.6厘米连装炮|J国15.2厘米单装炮,80,110,2.88,5.4,0.75,40|50|40|0,65|0|55|13
015,比睿,日本,3,战巡,金刚型2番舰,63,65 | 90,55 | 70,0 | 0,20 | 50,0 | 0,13 | 40,32 | 65,38 | 94,7,30.3,3|3|3|3,长,大型,4,J国35.6厘米连装炮|J国15.2厘米单装炮,80,110,2.88,5.4,0.75,40|50|40|0,65|0|55|10
016,榛名,日本,3,战巡,金刚型3番舰,63,65 | 90,55 | 70,0 | 0,20 | 50,0 | 0,13 | 40,32 | 65,38 | 94,22,30.3,3|3|3|3,长,大型,4,J国35.6厘米连装炮|J国15.2厘米单装炮,80,110,2.88,5.4,0.75,40|50|40|0,65|0|55|10
017,雾岛,日本,3,战巡,金刚型4番舰,63,65 | 90,55 | 70,0 | 0,20 | 50,0 | 0,13 | 40,32 | 65,38 | 94,9,30.3,3|3|3|3,长,大型,4,J国35.6厘米连装炮|J国15.2厘米单装炮,80,110,2.88,5.4,0.75,40|50|40|0,65|0|55|10
018,声望,英国,3,战巡,声望级1号舰,65,58 | 83,56 | 71,0 | 0,52 | 82,0 | 0,14 | 41,30 | 63,38 | 94,25,31.5,4|4|4|4,长,大型,4,E国双联15英寸炮|E国三联4英寸炮,70,120,2.88,5.4,0.75,40|50|40|0,63|0|56|42
019,反击,英国,3,战巡,声望级2号舰,65,58 | 83,56 | 71,0 | 0,40 | 70,0 | 0,14 | 41,30 | 63,38 | 94,12,31.5,4|4|4|4,长,大型,4,E国双联15英寸炮|E国三联4英寸炮,70,120,2.88,5.4,0.75,40|50|40|0,63|0|56|24
020,阿拉斯加,美国,5,战巡,阿拉斯加级1号舰,58,60 | 85,54 | 69,0 | 0,70 | 100,0 | 0,18 | 45,31 | 64,40 | 96,15,33,4|4|4|4,长,大型,4,U国三联12英寸炮|U国双联5英寸平高两用炮|U国博福斯40毫米防空炮(四联),80,120,2.88,5.4,0.625,40|50|40|0,60|0|54|76
021,关岛,美国,5,战巡,阿拉斯加级2号舰,58,60 | 85,54 | 69,0 | 0,70 | 100,0 | 0,18 | 45,31 | 64,40 | 96,15,33,4|4|4|4,长,大型,4,U国三联12英寸炮|U国双联5英寸平高两用炮|U国博福斯40毫米防空炮(四联),80,120,2.88,5.4,0.625,40|50|40|0,60|0|54|76
022,赤城,日本,5,航母,赤城型1番舰,69,0 | 40,30 | 55,0 | 0,27 | 57,0 | 0,46 | 73,30 | 52,37 | 96,10,31.2,21|18|27|10,短,大型,4,零战二一型|九九式舰爆|九七式舰攻,60,55,2.4,4.5,1,30|40|60|40,0|0|15|27
